Unnamed: 0	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
3318	dilantin	9	Highly Effective	Moderate Side Effects	seizures	"Dilantin provided Control of seizures
(mostly petits) as these were more frequent.
Generally, the drug is still as effective as when
first introduced to me so there has
been little need for increasing the dosage.
It was imperative in my treatment, though, that the drug be NON GENERIC ONLY."	Dizziness	"""Side effects- over 5 years losing hair but I take it 3 times a day with other medication for Multiple Sclerosis."""
2096	renova	8	Considerably Effective	Severe Side Effects	hyperpigmentation	Tretinoin, used in conjunction with the Obagi regimen, greatly reduced facial hyperpigmention which was due to hormones and sun damage.	Severe redness, burning and peeling occurred in the first 6-8 months of use, but gradually dissipated.	"Tretinoin (pea size) was blended on the back of the hand with an equal amount of Blender (#5 step in the Obagi system).  The mixture was then applied to the face, neck and chest avoiding the eyes and lips. The residual cream remaining on the hand was spread on the back of the hands to reduce ""age spots"".  No noticeable side effects were evident on the hands, but the procedure was effective.  Care was taken not to expose the treated areas to sunlight."
3179	desyrel	9	Considerably Effective	Mild Side Effects	poor sleep quality	Able to sleep throughout the night without waking up, not groggy in the morning.	Dry mouth in the morning up on waking, dry eyes.	"""I have been on trazodone for about five years, ever since I was going through a nasty downward spiral due to my personal situation at the time and couldn&#039;t sleep for three days/nights in a row. 

The doctor who prescribed it for me was an &quot;old-time&quot; doc who wasn&#039;t into unnecessary medication (or any, most of the time) but saw there was a need that day with me. The fact that it was also an antidepressant was also a plus (but ultimately it wasn&#039;t effective enough on its own for that purpose). 

Taking trazodone at night (50mg) plus 1/2 a typical Ambien pill helps me sleep a good five or six hours straight--beats the way I used to sleep and thought was normal for most of my life; waking up every two or three hours."""
1214	prozac	10	Considerably Effective	Mild Side Effects	serotonin imbalance, mood swings	Taking Prozac has enabled me to not erupt emotionally or lash out verbally at others during stressful situations, such as traffic jams, bad customer service, or when people are generally disrespecting me.  Most of the time, I have more patience than I did before taking the drug and can articulate my emotions better.	Not too interested in sex anymore.	I take one Prozac 20 mg in the morning.
1960	lyrica	1	Ineffective	Severe Side Effects	neuropathic pain aand fibromyalgia		Extreme swelling of face, hands and feet, as well as, raised welts on skin	Patient was being weened off of 3600mg/day of Neurontin on to Lyrica. As the dosage taken of Neurontin lessened and that of Lyrica increased so did the side effects. Patient was taken totally off of Lyrica and, successfully, placed back on Neurontin.
280	xyrem	2	Ineffective	Mild Side Effects	unrestful sleep, narcolepsy?	I sometimes wake up refreshed although with xyrem I only sleep for about 5 hrs every night	Night sweats. waking up too early. Getting unrefreshed sleep every other night	I have been taking Xyrem for about 2 months. I sleep about 5 to 5 1/2 hours every night. I wake up between 3 to 3 1/2 hour after the 1st dose and then I sleep for about 2 to 2 1/2 hours after the 2nd dose and am unable to fall asleep. The weirdest thing is that I get a refreshing sleep every other day. On the days that I wake up exhausted, I am barely able to make it through the day and am hungry all the time. The next night, I usually sleep well and have a better day there after. I am going to stop taking it and I am going to explore other options such as Rozerem or Trazodone
238	wellbutrin-xl	6	Moderately Effective	Mild Side Effects	low energy and depression	I became a happier person and felt like living and being active again. I was a better mother and wife. I could focus and was not lethargic or sad.	The side effects mostly were related to low sex drive.	I was diagnosed with hypothyroidism and then depression. I was treated first for the hypothyroidism and then the depression. The Zoloft worked but I still felt like I had a lower than normal energy level. My doctor added in the Wellbutrin to give me the energy boost.
3314	rifadin	8	Considerably Effective	No Side Effects	mrsa abcess	The abcess and inflammation around the area disappeared. It is very important that MRSA abcesses be treated immediately. If you have a history of MRSA, get to your doctor and begin medication as quickly as possible. Rifmapin is a very effective drug for MRSA infections. The doctor will do a workup of all the effective medications against your specific MRSA infection and choose the appropriate antibiotic.	There were no side effects that I encountered. The drug must be taken on an empty stomach, which is not the case for many other antibiotics. If the drug is not taken on an empty stomach, its effects will be diluded and the drug will be less potent against the infection. It is always recommended to follow the instructions for any drug very closely, and as for rifampin, take it on an empty stomach.	"""This is very helpful to me. Thanks."""
3306	zoloft	9	Highly Effective	Mild Side Effects	panic attacks	"I have debilitating panic attacks. After I was on Zoloft for a couple of weeks I noticed a substantial difference. I no longer felt the ""looming dread"" that comes with a panic attack and I just felt calmer and more in control than before. I was finally able to get my life back and felt more at ease."	I went off of Zoloft on my own in October of 2008. I went down gradually from 50mg to 25 for about a week and then went off completely. The two weeks afterward were a bit crazy. The panic attacks didn't come back but I'd get all emotional at the slightest upset and feel like crying for no reason (which isn't me at all). I also had the strangest, most vivid dreams. I recently went back on the drug after the panic attacks came back and apart from slight dizzyness and diarrhea I'm starting to feel more in control again and less panicky.	My family doctor prescribed it for panic attacks. I saw a psychiatrist years ago but it really didn't do much apart from giving me tips on what to do constructively if I have a panic attack. Which of course didn't help because when you're paralyzed with fear you can't do much of ANYTHING constructive with your time.
1880	doxycycline	10	Highly Effective	Mild Side Effects	pneumonia	fast onset of action.  quicker than a zpak with is erythromycin. for 5 days.  Onset of action is faster and patient starts to feel better in two days versus a week.	mild nausea, mild stomach irritation, can develop yeast infection for can you can counter these effects by taking a little food by mouth with the antibiotics however the food cannot be dairy.  Also to counter the possibility an yeast infection eat yogurt but only 1 hour before taking the pills or 2 hours after taking the pills	take by mouth twice daily for 10 days
